hurs,evspsbl,tas,treeFrac
76.4163,4.57E-05,293.61642,0.46183336
72.52927,7.03E-05,292.03397,0.25965455
71.443825,6.89E-05,290.63422,0.16344896
72.389824,5.13E-05,289.6459,0.15781164
73.066086,5.66E-05,289.45242,0.16401038
71.480774,4.95E-05,289.6325,0.18726003
74.54303,4.70E-05,290.64178,0.2338348
76.18842,4.85E-05,292.18765,0.34930173
78.01131,5.92E-05,293.4914,0.51677966
81.12602,5.39E-05,294.31403,0.5688437
77.03078,5.70E-05,294.4752,0.5933493
77.92494,6.07E-05,294.26996,0.6164186
72.52692,5.61E-05,292.678,0.5317235
72.03973,6.31E-05,291.737,0.25467873
73.13043,4.82E-05,290.6137,0.16308658
70.74796,7.09E-05,289.8438,0.15718916
69.32507,5.65E-05,288.8045,0.16669683
71.02727,5.01E-05,289.43732,0.18936957
73.29979,4.25E-05,290.8852,0.23627372
78.74573,5.09E-05,292.35626,0.33404547
77.48391,5.33E-05,293.63882,0.48119774
77.10088,6.63E-05,293.87393,0.5539067
80.16779,5.45E-05,294.2806,0.5847088
79.42791,4.27E-05,293.954,0.6105065
71.25855,6.14E-05,292.38223,0.6246091
73.258896,5.50E-05,291.2404,0.4350275
77.59412,4.37E-05,290.9907,0.20746695
73.62007,5.23E-05,289.9918,0.16643949
68.142075,6.08E-05,288.76602,0.16927646
73.704475,5.42E-05,289.83078,0.19275428
77.05513,3.23E-05,290.85297,0.237466
74.1007,5.06E-05,292.89523,0.33750552
75.274414,4.36E-05,294.45013,0.47905228
76.538315,5.94E-05,295.5328,0.53476566
79.87439,5.79E-05,295.22342,0.5716008
76.135,5.39E-05,294.3508,0.5980339
71.71181,6.11E-05,292.68903,0.52346003
78.42315,4.29E-05,292.23843,0.31541938
75.76027,5.80E-05,290.94528,0.16448328
71.28051,5.99E-05,289.60632,0.14816217
75.03554,3.95E-05,290.0595,0.1547629
75.03229,4.24E-05,290.83496,0.17563884
73.22471,4.48E-05,291.7765,0.21353301
78.33213,5.43E-05,292.8046,0.288576
78.297966,6.55E-05,294.04825,0.39889315
79.75655,5.81E-05,294.57037,0.48310852
81.48022,5.51E-05,294.55298,0.5492924
79.96795,4.56E-05,294.29535,0.5836225
78.28076,5.13E-05,293.3837,0.5758242
71.95731,5.34E-05,291.93423,0.30758584
70.512,6.96E-05,290.9686,0.15785165
70.810745,5.33E-05,290.2167,0.14568423
74.116005,5.78E-05,289.495,0.15514791
75.9766,4.59E-05,290.2793,0.18018346
