time,hurs,mrsos,evspsbl
9260.5,75.21202,--,4.16E-05
9291,70.63141,--,6.12E-05
9321.5,69.16906,--,6.85E-05
9352.5,74.639275,--,4.73E-05
9383,78.5162,--,3.72E-05
9413.5,82.383934,--,3.41E-05
9444,80.64481,--,3.60E-05
9474.5,77.78736,--,4.02E-05
9505.5,76.39846,--,5.47E-05
9535,76.56277,--,4.94E-05
9564.5,73.71935,--,6.00E-05
9595,75.4862,--,5.73E-05
9625.5,75.23274,--,6.45E-05
9656,73.17111,--,5.74E-05
9686.5,76.01423,--,4.18E-05
9717.5,74.4484,--,4.62E-05
9748,76.62841,--,4.02E-05
9778.5,73.28543,--,3.94E-05
9809,73.57036,--,4.76E-05
9839.5,76.23576,--,5.13E-05
9870.5,80.50859,--,5.92E-05
9900,83.91831,--,5.17E-05
9929.5,79.78465,--,6.59E-05
9960,77.20862,--,6.68E-05
9990.5,76.77986,--,4.43E-05
10021,72.66916,--,4.60E-05
10051.5,72.67858,--,6.31E-05
10082.5,72.04029,--,5.23E-05
10113,68.83791,--,4.87E-05
10143.5,75.59303,--,3.66E-05
10174,72.46009,--,4.96E-05
10204.5,78.12967,--,5.77E-05
10235.5,79.15423,--,6.60E-05
10265,78.51206,--,6.40E-05
10294.5,77.196075,--,5.79E-05
10325,73.95976,--,5.50E-05
10355.5,72.29997,--,5.08E-05
10386,75.03278,--,6.01E-05
10416.5,69.4154,--,5.82E-05
10447.5,70.5849,--,4.53E-05
10478,72.17087,--,5.06E-05
10508.5,75.499,--,4.38E-05
10539,78.54239,--,4.22E-05
10569.5,76.0827,--,5.61E-05
10600.5,76.069115,--,6.23E-05
10630,77.145615,--,5.95E-05
10659.5,80.60033,--,5.45E-05
10690,71.898994,--,5.59E-05
10720.5,75.98772,--,4.69E-05
10751,76.975266,--,5.97E-05
10781.5,70.171394,--,6.16E-05
10812.5,71.90632,--,5.35E-05
10843,75.516266,--,4.74E-05
10873.5,75.85325,--,3.73E-05
10904,76.486496,--,4.67E-05
10934.5,75.34376,--,5.70E-05
10965.5,79.91565,--,5.63E-05
10995,77.84395,--,6.46E-05
11024.5,78.790375,--,4.70E-05
11055,77.08337,--,5.71E-05
11085.5,70.00115,--,6.05E-05
11116,75.03166,--,4.84E-05
11146.5,71.31232,--,6.48E-05
11177.5,70.08205,--,6.07E-05
11208,71.11591,--,5.01E-05
11238.5,74.113075,--,4.12E-05
11269,76.62876,--,4.00E-05
11299.5,78.416595,--,5.17E-05
11330.5,78.306404,--,6.65E-05
11360,81.02625,--,6.25E-05
11389.5,81.864296,--,4.74E-05
11420,79.21025,--,4.54E-05
11450.5,75.1851,--,6.34E-05
11481,70.94075,--,6.71E-05
11511.5,71.623344,--,6.62E-05
11542.5,70.53715,--,6.31E-05
11573,72.71923,--,4.59E-05
11603.5,73.22888,--,4.63E-05
11634,76.425545,--,3.84E-05
11664.5,78.88456,--,4.92E-05
11695.5,81.74691,--,4.88E-05
11725,83.81752,--,4.81E-05
11754.5,79.27482,--,6.00E-05
11785,74.25119,--,5.62E-05
11815.5,75.69069,--,4.50E-05
11846,77.12584,--,6.07E-05
11876.5,71.77446,--,5.09E-05
11907.5,71.07929,--,6.26E-05
11938,72.1274,--,5.04E-05
11968.5,75.2041,--,4.04E-05
11999,79.723656,--,4.17E-05
12029.5,71.88401,--,5.50E-05
12060.5,75.704254,--,5.94E-05
12090,80.08177,--,4.92E-05
12119.5,81.6279,--,5.39E-05
12150,75.5201,--,5.57E-05
12180.5,74.45458,--,5.71E-05
12211,74.50144,--,4.78E-05
12241.5,74.55389,--,4.67E-05
12272.5,68.05364,--,6.59E-05
12303,75.26696,--,5.60E-05
12333.5,74.19455,--,4.60E-05
12364,77.07723,--,2.89E-05
12394.5,78.50046,--,4.94E-05
12425.5,76.72801,--,6.21E-05
12455,76.26869,--,6.76E-05
12484.5,75.32627,--,5.28E-05
12515,74.99821,--,5.72E-05
12545.5,72.70974,--,5.86E-05
12576,75.09061,--,4.32E-05
12606.5,72.968346,--,6.11E-05
12637.5,71.658455,--,6.68E-05
12668,68.613815,--,5.05E-05
12698.5,77.990585,--,3.07E-05
12729,79.63344,--,4.49E-05
12759.5,75.02538,--,5.23E-05
12790.5,78.50619,--,5.71E-05
12820,78.849625,--,5.45E-05
12849.5,76.362785,--,5.42E-05
12880,77.83883,--,4.94E-05
12910.5,75.68736,--,5.04E-05
12941,74.08887,--,5.92E-05
12971.5,70.401794,--,5.90E-05
13002.5,72.417496,--,5.68E-05
13033,77.1434,--,3.74E-05
13063.5,76.48348,--,3.50E-05
13094,79.17188,--,3.08E-05
13124.5,78.239624,--,5.35E-05
13155.5,75.91878,--,6.72E-05
13185,82.66169,--,4.69E-05
13214.5,77.38284,--,6.13E-05
13245,75.564674,--,4.97E-05
13275.5,78.09142,--,4.23E-05
13306,76.980034,--,4.75E-05
13336.5,74.08723,--,4.79E-05
13367.5,72.44709,--,5.88E-05
13398,75.95156,--,3.89E-05
13428.5,75.955635,--,4.31E-05
13459,76.211006,--,4.12E-05
13489.5,79.51758,--,4.45E-05
13520.5,73.59691,--,6.56E-05
13550,78.26103,--,6.75E-05
13579.5,83.220695,--,4.98E-05
13610,76.33637,--,5.91E-05
13640.5,72.77695,--,5.19E-05
13671,68.4461,--,7.24E-05
13701.5,70.776855,--,5.36E-05
13732.5,71.358955,--,6.61E-05
13763,69.5991,--,5.90E-05
13793.5,74.67651,--,4.42E-05
13824,74.90021,--,4.25E-05
13854.5,78.32145,--,4.45E-05
13885.5,80.75115,--,5.60E-05
13915,79.16843,--,7.75E-05
13944.5,81.610825,--,5.18E-05
13975,77.792595,--,4.98E-05
14005.5,77.58203,--,4.78E-05
14036,73.54496,--,5.99E-05
14066.5,74.03892,--,5.25E-05
14097.5,70.14391,--,4.93E-05
14128,71.71088,--,5.19E-05
14158.5,71.512726,--,3.92E-05
14189,75.44176,--,4.01E-05
14219.5,80.40298,--,4.12E-05
14250.5,78.62737,--,4.68E-05
14280,78.12104,--,7.21E-05
14309.5,77.36878,--,6.74E-05
14340,78.404976,--,4.55E-05
14370.5,77.00623,--,5.43E-05
14401,71.600044,--,5.89E-05
14431.5,70.61253,--,6.26E-05
14462.5,70.95363,--,6.11E-05
14493,72.59472,--,4.69E-05
14523.5,77.27059,--,4.36E-05
14554,80.21195,--,3.56E-05
14584.5,77.834465,--,5.23E-05
14615.5,75.34385,--,5.77E-05
14645,75.418495,--,5.39E-05
14674.5,78.10304,--,4.56E-05
14705,75.27648,--,6.30E-05
14735.5,73.49289,--,4.98E-05
14766,76.477295,--,4.66E-05
14796.5,68.743385,--,7.34E-05
14827.5,71.575386,--,6.14E-05
14858,76.29847,--,3.60E-05
14888.5,76.33475,--,4.73E-05
14919,78.92763,--,3.93E-05
